elapsed_s,board_c,ambient_c,target_c,duty_pct,state,stage,session:hold-220
0,,,,,EVENT,Heat & Hold started at 220C
270,185.4,142.1,220.0,100.0,Hold,Hold
271,185.8,142.6,220.0,100.0,Hold,Hold
272,185.9,142.9,220.0,100.0,Hold,Hold
273,186.1,143.2,220.0,100.0,Hold,Hold
274,186.4,143.7,220.0,100.0,Hold,Hold
275,186.6,144.0,220.0,100.0,Hold,Hold
276,186.8,144.1,220.0,100.0,Hold,Hold
277,187.1,144.5,220.0,100.0,Hold,Hold
278,187.3,144.9,220.0,100.0,Hold,Hold
279,187.5,145.2,220.0,100.0,Hold,Hold
280,188.2,145.6,220.0,100.0,Hold,Hold
281,188.4,145.8,220.0,100.0,Hold,Hold
282,188.6,146.2,220.0,100.0,Hold,Hold
283,188.6,146.8,220.0,100.0,Hold,Hold
284,188.9,147.2,220.0,100.0,Hold,Hold
285,189.3,147.6,220.0,100.0,Hold,Hold
286,189.5,147.9,220.0,100.0,Hold,Hold
287,189.8,148.0,220.0,100.0,Hold,Hold
288,190.1,148.2,220.0,100.0,Hold,Hold
289,190.1,148.6,220.0,100.0,Hold,Hold
290,190.2,149.0,220.0,100.0,Hold,Hold
291,190.7,149.4,220.0,100.0,Hold,Hold
292,190.8,149.7,220.0,100.0,Hold,Hold
293,190.7,150.1,220.0,100.0,Hold,Hold
294,191.2,150.5,220.0,100.0,Hold,Hold
295,192.0,151.0,220.0,100.0,Hold,Hold
296,192.3,151.2,220.0,100.0,Hold,Hold
297,192.5,151.4,220.0,100.0,Hold,Hold
298,192.8,151.8,220.0,100.0,Hold,Hold
299,192.8,152.2,220.0,100.0,Hold,Hold
300,192.8,152.5,220.0,100.0,Hold,Hold
301,193.2,152.6,220.0,100.0,Hold,Hold
302,193.9,152.9,220.0,100.0,Hold,Hold
303,194.2,153.1,220.0,100.0,Hold,Hold
304,194.1,153.6,220.0,100.0,Hold,Hold
305,194.3,154.1,220.0,100.0,Hold,Hold
306,194.7,154.4,220.0,100.0,Hold,Hold
307,194.6,154.6,220.0,100.0,Hold,Hold
308,194.8,154.9,220.0,100.0,Hold,Hold
309,195.2,155.4,220.0,100.0,Hold,Hold
310,195.4,155.6,220.0,100.0,Hold,Hold
311,195.6,155.9,220.0,100.0,Hold,Hold
312,195.8,156.2,220.0,100.0,Hold,Hold
313,195.7,156.5,220.0,100.0,Hold,Hold
314,195.4,156.7,220.0,100.0,Hold,Hold
315,195.6,156.9,220.0,100.0,Hold,Hold
316,195.9,157.1,220.0,100.0,Hold,Hold
317,196.2,157.6,220.0,100.0,Hold,Hold
318,196.5,157.9,220.0,100.0,Hold,Hold
319,196.8,158.2,220.0,100.0,Hold,Hold
320,196.7,158.5,220.0,100.0,Hold,Hold
321,196.9,158.6,220.0,100.0,Hold,Hold
322,197.3,158.9,220.0,100.0,Hold,Hold
323,197.6,159.3,220.0,100.0,Hold,Hold
324,197.8,159.6,220.0,100.0,Hold,Hold
325,197.8,159.7,220.0,100.0,Hold,Hold
326,197.9,160.1,220.0,100.0,Hold,Hold
327,197.8,160.5,220.0,100.0,Hold,Hold
328,197.7,160.7,220.0,100.0,Hold,Hold
329,198.1,160.9,220.0,100.0,Hold,Hold
330,198.6,161.3,220.0,100.0,Hold,Hold
331,198.8,161.5,220.0,100.0,Hold,Hold
332,198.6,161.8,220.0,100.0,Hold,Hold
333,198.5,162.0,220.0,100.0,Hold,Hold
334,198.7,162.2,220.0,100.0,Hold,Hold
335,198.6,162.4,220.0,100.0,Hold,Hold
336,198.8,162.5,220.0,100.0,Hold,Hold
337,199.0,162.9,220.0,100.0,Hold,Hold
338,198.9,163.2,220.0,100.0,Hold,Hold
339,199.2,163.4,220.0,100.0,Hold,Hold
340,199.5,163.6,220.0,100.0,Hold,Hold
341,199.7,163.9,220.0,100.0,Hold,Hold
342,199.9,164.2,220.0,100.0,Hold,Hold
343,199.9,164.4,220.0,100.0,Hold,Hold
344,200.1,164.6,220.0,100.0,Hold,Hold
345,200.2,164.9,220.0,100.0,Hold,Hold
346,200.3,165.1,220.0,100.0,Hold,Hold
347,200.4,165.3,220.0,100.0,Hold,Hold
348,200.6,165.7,220.0,100.0,Hold,Hold
349,200.9,165.8,220.0,100.0,Hold,Hold
350,200.9,166.1,220.0,100.0,Hold,Hold
351,201.1,166.4,220.0,100.0,Hold,Hold
352,201.4,166.5,220.0,100.0,Hold,Hold
353,201.5,166.7,220.0,100.0,Hold,Hold
354,201.4,166.9,220.0,100.0,Hold,Hold
355,201.1,167.4,220.0,100.0,Hold,Hold
356,201.3,167.7,220.0,100.0,Hold,Hold
357,201.9,167.8,220.0,100.0,Hold,Hold
358,202.4,168.0,220.0,100.0,Hold,Hold
359,202.8,168.2,220.0,100.0,Hold,Hold
360,203.2,168.6,220.0,100.0,Hold,Hold
361,203.2,168.9,220.0,100.0,Hold,Hold
362,202.9,169.1,220.0,100.0,Hold,Hold
363,202.9,169.1,220.0,100.0,Hold,Hold
364,203.1,169.3,220.0,100.0,Hold,Hold
365,203.1,169.6,220.0,100.0,Hold,Hold
366,202.9,169.8,220.0,100.0,Hold,Hold
367,203.1,169.9,220.0,100.0,Hold,Hold
368,203.2,170.2,220.0,100.0,Hold,Hold
369,203.2,170.7,220.0,100.0,Hold,Hold
370,203.3,171.0,220.0,100.0,Hold,Hold
371,203.5,171.2,220.0,100.0,Hold,Hold
372,203.9,171.3,220.0,100.0,Hold,Hold
373,204.2,171.7,220.0,100.0,Hold,Hold
374,204.2,172.0,220.0,100.0,Hold,Hold
375,204.1,172.1,220.0,100.0,Hold,Hold
376,204.4,172.2,220.0,100.0,Hold,Hold
377,204.9,172.4,220.0,100.0,Hold,Hold
378,205.1,172.8,220.0,100.0,Hold,Hold
379,205.2,173.1,220.0,100.0,Hold,Hold
380,205.4,173.4,220.0,100.0,Hold,Hold
381,205.8,173.7,220.0,100.0,Hold,Hold
382,205.8,174.1,220.0,100.0,Hold,Hold
383,205.9,174.2,220.0,100.0,Hold,Hold
384,206.1,174.2,220.0,100.0,Hold,Hold
385,205.9,174.4,220.0,100.0,Hold,Hold
386,205.9,174.6,220.0,100.0,Hold,Hold
387,205.9,174.8,220.0,100.0,Hold,Hold
388,205.8,175.1,220.0,100.0,Hold,Hold
389,206.1,175.4,220.0,100.0,Hold,Hold
390,206.4,175.6,220.0,100.0,Hold,Hold
391,206.2,175.6,220.0,100.0,Hold,Hold
392,205.9,175.8,220.0,100.0,Hold,Hold
393,205.9,175.9,220.0,100.0,Hold,Hold
394,206.0,176.2,220.0,100.0,Hold,Hold
395,206.2,176.6,220.0,100.0,Hold,Hold
396,206.5,176.7,220.0,100.0,Hold,Hold
397,206.9,176.9,220.0,100.0,Hold,Hold
398,207.3,177.0,220.0,100.0,Hold,Hold
399,207.4,177.3,220.0,100.0,Hold,Hold
400,207.2,177.7,220.0,100.0,Hold,Hold
401,207.5,177.7,220.0,100.0,Hold,Hold
402,208.0,177.9,220.0,100.0,Hold,Hold
403,208.2,178.4,220.0,100.0,Hold,Hold
404,208.3,178.6,220.0,100.0,Hold,Hold
405,208.3,178.8,220.0,100.0,Hold,Hold
406,208.3,178.8,220.0,100.0,Hold,Hold
407,208.3,179.0,220.0,100.0,Hold,Hold
408,208.1,179.2,220.0,100.0,Hold,Hold
409,208.1,179.4,220.0,100.0,Hold,Hold
410,208.1,179.7,220.0,100.0,Hold,Hold
411,208.2,179.9,220.0,100.0,Hold,Hold
412,208.6,180.1,220.0,100.0,Hold,Hold
413,208.9,180.2,220.0,100.0,Hold,Hold
414,209.2,180.4,220.0,100.0,Hold,Hold
415,209.4,180.6,220.0,100.0,Hold,Hold
416,209.4,180.9,220.0,100.0,Hold,Hold
417,209.3,181.1,220.0,100.0,Hold,Hold
418,209.3,181.2,220.0,100.0,Hold,Hold
419,209.4,181.4,220.0,100.0,Hold,Hold
420,209.4,181.5,220.0,100.0,Hold,Hold
421,210.0,181.6,220.0,41.2,Hold,Hold
422,212.1,181.9,220.0,0.0,Hold,Hold
423,215.5,182.1,220.0,0.0,Hold,Hold
424,218.9,182.2,220.0,0.0,Hold,Hold
425,221.9,182.8,220.0,0.0,Hold,Hold
426,224.5,183.5,220.0,0.0,Hold,Hold
427,226.6,184.4,220.0,0.0,Hold,Hold
428,227.8,185.1,220.0,0.0,Hold,Hold
429,228.5,185.8,220.0,0.0,Hold,Hold
430,228.9,186.5,220.0,0.0,Hold,Hold
431,229.3,187.2,220.0,0.0,Hold,Hold
432,229.9,187.8,220.0,0.0,Hold,Hold
433,230.5,188.2,220.0,0.0,Hold,Hold
434,231.2,188.8,220.0,0.0,Hold,Hold
435,231.9,189.4,220.0,0.0,Hold,Hold
436,232.5,189.9,220.0,0.0,Hold,Hold
437,233.1,190.4,220.0,0.0,Hold,Hold
438,233.8,190.8,220.0,0.0,Hold,Hold
439,234.2,191.2,220.0,0.0,Hold,Hold
440,232.9,191.6,220.0,100.0,Hold,Hold
441,230.4,191.9,220.0,100.0,Hold,Hold
442,227.9,192.1,220.0,100.0,Hold,Hold
443,225.7,192.1,220.0,100.0,Hold,Hold
444,224.1,191.9,220.0,100.0,Hold,Hold
445,223.4,191.7,220.0,100.0,Hold,Hold
446,223.1,191.6,220.0,80.7,Hold,Hold
447,223.0,191.5,220.0,44.3,Hold,Hold
448,,,,,EVENT,Heat & Hold stopped by user
448,,,,,EVENT,Session ended
